"","away_team_api_id","home_team_api_id","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassingClass","H_chanceCreationCrossingClass","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressureClass","H_defenceAggressionClass","H_defenceTeamWidthClass","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassingClass","A_chanceCreationCrossingClass","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressureClass","A_defenceAggressionClass","A_defenceTeamWidthClass","result"
"64",10261,8668,850,801,900,866,2,1,2,2,2,3,2,2,2,2,2,3,1,2,2,2,3,2,2,2,3,2,3
"66",8658,8659,787,852,850,896,2,1,2,2,3,3,2,2,3,2,3,3,1,3,2,3,3,3,2,3,2,3,2
"69",9865,8558,789,772,863,873,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,3,2,3,3,1,2
"70",8633,8560,763,906,835,971,2,1,1,1,2,2,3,2,2,1,2,2,1,1,1,3,2,3,1,2,3,2,3
"71",8371,8661,774,809,856,863,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,1,1,3,2,2
"72",8650,10260,901,889,953,942,3,1,2,2,2,3,2,1,2,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"73",8456,8528,790,877,874,943,3,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,3,2,2,3,2,3
"74",8483,8455,885,725,947,814,3,1,2,1,2,3,3,1,1,3,2,3,1,3,2,3,3,2,2,3,2,3,2
"75",8634,9906,839,934,908,977,2,1,1,1,2,2,3,1,3,3,2,2,1,1,1,2,2,3,1,3,1,3,3
"76",10267,10278,779,854,835,915,2,1,1,2,2,2,3,2,2,3,2,1,1,1,1,2,2,3,2,2,3,2,3
"77",8394,8696,805,799,859,883,2,1,2,2,3,3,2,1,2,3,2,1,1,1,1,2,2,3,2,2,1,2,2
"78",8302,9864,783,851,837,918,2,1,2,2,2,2,3,2,2,3,2,1,1,1,1,3,2,3,1,2,2,2,3
"79",10205,8581,764,857,834,914,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,2,2,3,1,2,1,3,3
"81",8661,8315,801,777,875,854,2,1,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,1,2,3,2,2
"82",8558,8633,903,776,968,852,2,1,1,1,3,2,3,1,2,3,2,2,1,2,2,3,2,3,2,3,3,2,2
"83",8560,8371,809,752,874,817,2,1,2,2,2,2,2,1,1,3,2,2,1,1,1,2,2,3,2,2,1,2,2
"84",9869,8634,892,790,964,837,2,1,1,1,2,2,3,1,3,1,3,3,1,2,2,2,2,3,2,3,2,2,2
"87",8581,9865,801,770,872,840,2,1,2,2,2,2,3,2,3,3,1,1,1,1,2,2,2,3,2,1,3,2,3
"89",9864,8305,817,772,883,848,1,1,2,2,2,2,3,1,2,1,2,2,1,2,2,2,2,3,2,2,3,2,3
"90",9783,10205,851,799,914,857,2,1,1,1,2,2,3,1,2,1,3,1,1,1,2,1,2,2,2,2,3,2,2
"91",8659,9825,865,777,942,845,2,1,1,1,1,2,2,1,1,3,2,2,1,2,2,3,3,2,2,3,2,3,3
"93",8586,8654,813,872,874,940,2,1,1,2,1,3,2,2,1,2,1,3,1,2,2,2,2,2,2,2,3,2,2
"94",8455,8456,872,917,944,963,3,1,2,2,2,3,3,2,2,3,2,3,1,2,1,2,3,3,1,1,3,2,2
"97",8655,8483,739,810,802,868,3,1,3,2,3,3,2,2,3,2,3,2,1,3,2,2,3,2,2,2,2,2,3
"98",8634,8315,814,925,868,970,2,1,2,2,2,3,2,2,1,2,2,2,1,1,1,2,2,3,1,3,1,3,3
"99",10267,9869,805,852,845,904,3,1,2,2,2,2,3,2,3,2,2,1,1,1,1,2,2,3,2,2,3,2,3
"101",10194,10261,786,791,872,843,3,1,2,2,2,3,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,3
"102",10252,8602,762,869,826,918,3,1,3,2,3,3,3,2,3,2,3,3,1,2,2,2,3,2,1,1,2,1,3
"104",8394,9906,837,819.5939669,907,868.0962077,2,1,1,1,2,2,3,1,3,3,2,1,1,1,1,2,2,3,2,2,1,2,2
"105",8302,10278,771,847,832,929,2,1,1,2,2,2,3,2,2,3,2,1,1,1,1,3,2,3,1,2,2,2,2
"106",8305,8696,790,819.5939669,851,872,2,1,2,2,3,3,2,1,2,3,2,1,1,2,2,2,2,3,1,2,1,2,3
"107",9865,9783,812,782,897,868,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,2,3,3,1,3
"108",8371,8558,785,809,868.4805294,853,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,2,1,1,3,2,2
"109",8560,8661,817.8481077,759,868.4805294,821,2,1,2,2,2,2,2,1,2,3,2,2,1,1,1,2,2,3,2,2,1,2,2
"110",10205,9864,764,857,850,914,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,1,2,1,3,3
"112",10252,8586,862,860,922,906,3,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,1,1,2,1,2
"114",8668,8658,842,856,890,909,3,1,3,2,3,3,3,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,3
"116",8655,10194,806,808,864,866,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2
"117",8602,8528,789,770,872,835,3,1,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,3,2,3,2,3,2
"118",8315,10267,846,798,910,858,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,2,3,2,2,1,2,2,2
"120",8558,8560,763,788,835,859,2,1,1,1,2,2,3,2,2,1,2,2,1,2,2,3,2,3,2,3,3,2,2
"121",8483,8650,882,716,950,807,2,1,2,2,2,2,3,2,2,3,2,3,1,3,2,3,3,2,2,3,2,3,3
"122",10261,8456,880,805,947,872,3,1,2,2,2,3,3,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
"123",9825,8455,896,863,961,950,3,1,2,1,2,3,3,1,1,3,2,2,1,1,1,1,2,2,1,1,3,2,2
"125",9906,8302,856,827,928,899,1,1,1,1,3,2,3,1,2,2,2,2,1,1,1,2,2,3,1,3,3,2,2
"126",10278,8305,807,775,869,824,1,1,2,2,2,2,3,1,2,1,2,2,1,1,2,2,2,3,2,2,3,2,2
"127",8696,10205,851,795,914,843,2,1,1,1,2,2,3,1,2,1,3,2,1,2,2,3,3,2,1,2,3,2,2
"129",9783,8633,899,823,970,883,2,1,1,1,3,2,3,1,2,3,2,1,1,1,2,1,2,2,2,2,3,2,2
"132",8658,9825,861,854,953,896,2,1,1,1,1,2,2,1,1,3,2,3,1,3,2,3,3,3,2,3,2,3,2
"136",8586,9879,836,881,883,940,2,1,3,2,3,3,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,3
"137",10194,8559,817.8481077,804,868.4805294,856,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
"138",10267,8634,909,854,971,909,2,1,1,1,2,2,3,1,3,1,3,1,1,1,1,2,2,3,2,2,3,2,2
"139",8305,9906,834,819.5939669,916,872,2,1,1,1,2,2,3,1,3,3,2,1,1,2,2,2,2,3,1,2,1,2,2
"140",8633,9864,779,910,847,967,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,3,2,3,1,2,3,2,3
"141",8650,8668,843,896,904,941,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2
"142",8456,8483,742,870,812,935,3,1,3,2,3,3,2,2,3,2,3,3,1,2,2,2,3,3,2,2,3,2,3
"143",8394,8315,808,777,864,852,2,1,2,2,2,3,2,2,1,2,2,1,1,1,1,2,2,3,2,2,1,2,2
"144",8302,9869,803,867,847,917,3,1,2,2,2,2,3,2,3,2,2,1,1,1,1,3,2,3,1,2,2,2,2
"145",9865,8696,803,780,861,864,2,1,2,2,3,3,2,1,2,3,2,2,1,2,2,2,2,3,2,3,3,1,2
"147",8560,8581,766,779,838,849,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,2,2,3,2,2,1,2,2
"148",8558,8661,817.8481077,787,868.4805294,861,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,3,2,3,2,3,3,2,3
"151",10252,8472,796,871,885,926,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,1,2,1,2
"153",10261,8654,818,796,882,861,2,1,1,2,1,3,2,2,1,2,1,3,1,2,2,2,3,2,2,2,3,2,3
"154",8483,8658,836,724,890,806,3,1,3,2,3,3,3,2,3,2,3,3,1,3,2,3,3,2,2,3,2,3,2
"155",9879,8659,775,836,840,890,2,1,2,2,3,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,3,2,2
"157",8602,8455,903,759,964,820,3,1,2,1,2,3,3,1,1,3,2,3,1,3,2,3,3,3,2,3,2,3,2
"158",8661,10267,839,819.5939669,900,868.0962077,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
"159",8634,8394,783,932,862,973,1,1,1,1,2,2,3,2,2,1,2,2,1,1,1,2,2,3,1,3,1,3,3
"160",8696,8633,894,806,961,848,2,1,1,1,3,2,3,1,2,3,2,2,1,2,2,3,3,2,1,2,3,2,2
"161",8655,8650,877,801,941,868,2,1,2,2,2,2,3,2,2,3,2,2,1,3,2,2,3,2,2,2,2,2,2
"162",9825,8456,865,896,945,960,3,1,2,2,2,3,3,2,2,3,2,2,1,1,1,1,2,2,1,1,3,2,3
"163",10260,10194,805,889,865,923,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,2,3,2,3
"164",8315,8302,855,806,931,855,1,1,1,1,3,2,3,1,2,2,2,2,1,2,2,2,3,2,2,1,2,2,2
"165",9869,8305,803,819.5939669,867,841,1,1,2,2,2,2,3,1,2,1,2,3,1,2,2,2,2,3,2,3,2,2,2
"166",9906,10205,861,844,920,909,2,1,1,1,2,2,3,1,2,1,3,2,1,1,1,2,2,3,1,3,3,2,2
"168",9864,8371,815,819.5939669,868,864,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"169",8581,8558,788,770,861,827,2,1,2,2,3,2,3,2,3,3,2,1,1,1,2,2,2,3,2,1,3,2,2
"170",9783,8560,763,783,830,875,2,1,1,1,2,2,3,2,2,1,2,1,1,1,2,1,2,2,2,2,3,2,2
"171",8586,10260,817.8481077,882,868.4805294,936,3,1,2,2,2,3,2,1,2,3,2,3,1,2,2,2,2,2,2,2,3,2,2
"172",8654,9825,873,807,954,882,2,1,1,1,1,2,2,1,1,3,2,2,1,1,2,1,3,2,2,1,2,1,2
"173",10194,8668,847,795,905,870,2,1,2,2,2,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
"174",8456,8602,765,877,825,947,3,1,3,2,3,3,3,2,3,2,3,3,1,2,2,2,3,3,2,2,3,2,2
"175",8455,8655,808,925,882,969,2,1,3,2,2,3,2,2,2,2,2,3,1,2,1,2,3,3,1,1,3,2,3
"176",8528,9879,833,796,889,883,2,1,3,2,3,3,2,2,2,3,2,3,1,3,2,3,3,2,2,2,2,2,2
"178",8302,8634,917,837,969,912,2,1,1,1,2,2,3,1,3,1,3,1,1,1,1,3,2,3,1,2,2,2,2
"179",8633,10278,779,915,824,976,2,1,1,2,2,2,3,2,2,3,2,2,1,1,1,3,2,3,1,2,3,2,3
"181",8472,10261,791,799,867,884,3,1,2,2,2,3,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,2
"182",8650,8559,817.8481077,888,868.4805294,937,2,1,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,3
"183",8305,8315,808,819.5939669,864,872,2,1,2,2,2,3,2,2,1,2,2,1,1,2,2,2,2,3,1,2,1,2,2
"186",8371,8696,805,819,861,877,2,1,2,2,3,3,2,1,2,3,2,2,1,2,2,2,2,2,1,1,3,2,2
"187",8560,9864,786,754,851,831,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,2,2,1,2,3
"188",8558,9783,811,788,892,859,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,3,2,3,2,3,3,2,2
"189",8659,8483,737,784,812,849,3,1,3,2,3,3,2,2,3,2,3,2,1,2,2,3,3,2,2,3,2,3,2
"190",8581,8661,817.8481077,782,868.4805294,836,2,1,2,2,2,2,2,1,2,3,2,1,1,1,2,2,2,3,2,1,3,2,2
"191",8602,10260,886,757,928,815,3,1,2,2,2,3,2,1,2,3,2,3,1,3,2,3,3,3,2,3,2,3,2
"192",10194,8472,800,795,884,870,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2
"193",8528,8655,808,801,882,861,2,1,3,2,2,3,2,2,2,2,2,3,1,3,2,3,3,2,2,2,2,2,2
"196",8586,8559,817.8481077,871,868.4805294,932,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,3,2,2
"198",8696,8560,763,812,829,869,2,1,1,1,2,2,3,2,2,1,2,2,1,2,2,3,3,2,1,2,3,2,2
"199",9864,8558,774,782,861,827,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"200",10261,9825,863,804,954,873,2,1,1,1,1,2,2,1,1,3,2,3,1,2,2,2,3,2,2,2,3,2,3
"201",8455,8650,873,909,932,957,2,1,2,2,2,2,3,2,2,3,2,3,1,2,1,2,3,3,1,1,3,2,2
"202",8456,8659,817.8481077,882,868.4805294,952,2,1,2,2,3,3,2,2,3,2,3,3,1,2,2,2,3,3,2,2,3,2,3
"203",8661,8394,786,769,850,842,1,1,1,1,2,2,3,2,2,1,2,2,1,2,2,2,2,2,1,2,3,2,2
"204",8634,8305,809,941,870,981,1,1,2,2,2,2,3,1,2,1,2,2,1,1,1,2,2,3,1,3,1,3,3
"205",8315,10205,848,804,910,864,2,1,1,1,2,2,3,1,2,1,3,2,1,2,2,2,3,2,2,1,2,2,2
"207",9906,8633,899,850,970,911,2,1,1,1,3,2,3,1,2,3,2,2,1,1,1,2,2,3,1,3,3,2,2
"208",10278,8371,815,772,868,826,2,1,2,2,2,2,2,1,1,3,2,2,1,1,2,2,2,3,2,2,3,2,2
"209",9783,8581,773,802,834,886,1,1,1,2,2,2,3,2,1,3,2,1,1,1,2,1,2,2,2,2,3,2,3
"210",10267,8302,848,856,918,919,1,1,1,1,3,2,3,1,2,2,2,1,1,1,1,2,2,3,2,2,3,2,2
"212",8658,10194,804,838,867,883,2,1,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,3,2,3,2,3,2
"214",9825,8602,764,890,830,956,3,1,3,2,3,3,3,2,3,2,3,2,1,1,1,1,2,2,1,1,3,2,3
"216",8483,10252,839,819.5939669,899,868.0962077,3,1,2,2,2,3,2,1,1,2,1,3,1,3,2,3,3,2,2,3,2,3,2
"218",8655,10261,795,804,867,868,3,1,2,2,2,3,2,2,2,3,2,2,1,3,2,2,3,2,2,2,2,2,3
"220",9879,8455,899,823,960,889,3,1,2,1,2,3,3,1,1,3,2,2,1,3,2,3,3,2,2,2,3,2,2
"221",8655,8586,865,804,922,868,3,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,2,2,2
"226",8559,8602,769,819.5939669,841,868.0962077,3,1,3,2,3,3,3,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,3
"227",8650,10194,799,893,863,933,2,1,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2
"228",8659,8528,788,788,859,865,3,1,3,2,3,3,2,2,2,2,2,2,1,2,2,3,3,2,2,3,2,3,2
"229",10205,8634,902,854,965,910,2,1,1,1,2,2,3,1,3,1,3,2,1,1,1,2,2,3,1,2,1,3,2
"230",9865,8315,803,751,864,856,2,1,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,3,2,3,3,1,2
"231",8371,9906,844,819,924,877,2,1,1,1,2,2,3,1,3,3,2,2,1,2,2,2,2,2,1,1,3,2,2
"232",9825,8668,847,890,907,962,2,1,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,2,1,1,3,2,3
"233",8472,8455,882,808,950,892,3,1,2,1,2,3,3,1,1,3,2,2,1,3,2,3,3,2,2,2,2,2,3
"234",8302,8394,788,850,862,916,1,1,1,1,2,2,3,2,2,1,2,1,1,1,1,3,2,3,1,2,2,2,3
"235",8305,10267,848,819.5939669,910,886,1,1,1,1,2,2,3,2,2,3,2,1,1,2,2,2,2,3,1,2,1,2,2
"236",8633,9869,804,906,848,971,3,1,2,2,2,2,3,2,3,2,2,2,1,1,1,3,2,3,1,2,3,2,3
"237",8560,10278,777,763,841,830,2,1,1,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,2,2,1,2,2
"239",8581,9864,777,772,841,847,2,1,2,2,2,2,3,2,2,3,2,1,1,1,2,2,2,3,2,1,3,2,2
"241",8528,10260,817.8481077,792,868.4805294,850,3,1,2,2,2,3,2,1,2,3,2,3,1,3,2,3,3,2,2,2,2,2,2
"242",8586,9825,873,882,954,936,2,1,1,1,1,2,2,1,1,3,2,3,1,2,2,2,2,2,2,2,3,2,3
"243",8654,8650,881,809,939,872,2,1,2,2,2,2,3,2,2,3,2,2,1,1,2,1,3,2,2,1,2,1,2
"244",8455,8658,838,895,885,942,3,1,3,2,3,3,3,2,3,2,3,3,1,2,1,2,3,3,1,1,3,2,2
"245",10261,8559,817.8481077,800,868.4805294,867,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,2,2,3,2,2
"246",10194,8659,773,791,852,860,2,1,2,2,3,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,3
"247",8602,8483,817.8481077,770,868.4805294,837,3,1,3,2,3,3,2,2,3,2,3,3,1,3,2,3,3,3,2,3,2,3,2
"249",8634,9865,800,913,870,963,2,1,2,2,2,2,3,2,3,3,1,2,1,1,1,2,2,3,1,3,1,3,3
"250",8315,8633,899,826,970,862,2,1,1,1,3,2,3,1,2,3,2,2,1,2,2,2,3,2,2,1,2,2,2
"251",10252,8655,806,834,872,905,2,1,3,2,2,3,2,2,2,2,2,3,1,2,2,2,3,2,1,1,2,1,2
"252",8456,9879,839,884,887,952,2,1,3,2,3,3,2,2,2,3,2,3,1,2,2,2,3,3,2,2,3,2,3
"253",8661,8302,843,797,924,862,1,1,1,1,3,2,3,1,2,2,2,2,1,2,2,2,2,2,1,2,3,2,3
"254",9869,8371,809,819.5939669,871,847,2,1,2,2,2,2,2,1,1,3,2,3,1,2,2,2,2,3,2,3,2,2,2
"255",9906,8560,763,854,830,914,2,1,1,1,2,2,3,2,2,1,2,2,1,1,1,2,2,3,1,3,3,2,3
"256",10278,8558,758,819.5939669,854,868.0962077,2,1,2,2,3,2,3,2,3,3,2,2,1,1,2,2,2,3,2,2,3,2,2
"257",8696,8581,761,808,831,863,1,1,1,2,2,2,3,2,1,3,2,2,1,2,2,3,3,2,1,2,3,2,2
"258",9864,9783,801,819.5939669,872,868.0962077,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"261",8655,10260,817.8481077,796,868.4805294,832,3,1,2,2,2,3,2,1,2,3,2,2,1,3,2,2,3,2,2,2,2,2,2
"262",8528,8654,813,783,873,861,2,1,1,2,1,3,2,2,1,2,1,3,1,3,2,3,3,2,2,2,2,2,2
"263",9825,10252,840,879,906,953,3,1,2,2,2,3,2,1,1,2,1,2,1,1,1,1,2,2,1,1,3,2,3
"264",8659,8668,844,776,907,844,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,3,3,2,2,3,2,3,3
"265",8472,8602,764,831,856,907,3,1,3,2,3,3,3,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,2
"269",8305,8302,855,819.5939669,930,883,1,1,1,1,3,2,3,1,2,2,2,1,1,2,2,2,2,3,1,2,1,2,3
"270",10205,8394,803,853,868,915,1,1,1,1,2,2,3,2,2,1,2,2,1,1,1,2,2,3,1,2,1,3,3
"271",8558,9906,852,756,924,848,2,1,1,1,2,2,3,1,3,3,2,2,1,2,2,3,2,3,2,3,3,2,3
"272",8650,8586,875,902,934,941,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"274",9865,10267,832,771,903,872,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,2,2,3,2,3,3,1,2
"275",8371,8315,821,816,875,865,2,1,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,1,1,3,2,2
"276",8560,9869,798,759,848,828,3,1,2,2,2,2,3,2,3,2,2,2,1,1,1,2,2,3,2,2,1,2,3
"277",8581,10278,817.8481077,819.5939669,868.4805294,868.0962077,2,1,1,2,2,2,3,2,2,3,2,1,1,1,2,2,2,3,2,1,3,2,2
"278",9783,8696,796,804,856,877,2,1,2,2,3,3,2,1,2,3,2,1,1,1,2,1,2,2,2,2,3,2,2
"279",9864,8661,772,819.5939669,849,868.0962077,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,3,2,2,3,2,2
"280",8633,8634,907,915,969,976,2,1,1,1,2,2,3,1,3,1,3,2,1,1,1,3,2,3,1,2,3,2,2
"281",9879,9825,862,824,951,893,2,1,1,1,1,2,2,1,1,3,2,2,1,3,2,3,3,2,2,2,3,2,2
"282",8559,8456,883,819.5939669,948,868.0962077,3,1,2,2,2,3,3,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,2
