"id","date_match","season","away_team_api_id","home_team_api_id","away_team_goal","home_team_goal","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeed","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassing","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassing","H_chanceCreationPassingClass","H_chanceCreationCrossing","H_chanceCreationCrossingClass","H_chanceCreationShooting","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressure","H_defencePressureClass","H_defenceAggression","H_defenceAggressionClass","H_defenceTeamWidth","H_defenceTeamWidthClass","A_buildUpPlaySpeed","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassing","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassing","A_chanceCreationPassingClass","A_chanceCreationCrossing","A_chanceCreationCrossingClass","A_chanceCreationShooting","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressure","A_defencePressureClass","A_defenceAggression","A_defenceAggressionClass","A_defenceTeamWidth","A_defenceTeamWidthClass","result"
"2606","2010-08-21","2010/2011","8472","8659","0","1","768","802","850","869","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2607","2010-08-21","2010/2011","8586","10194","2","1","803","870","855","918","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","lose"
"2608","2010-08-21","2010/2011","8455","8528","6","0","790","929","867","969","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","lose"
"2602","2010-08-22","2010/2011","10252","10261","0","6","792","867","861","912","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","win"
"2604","2010-08-22","2010/2011","10260","9879","2","2","829","909","879","940","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","draw"
"2603","2010-08-23","2010/2011","8650","8456","0","3","874","891","941","940","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","win"
"2709","2010-08-28","2010/2011","8654","10260","0","3","895","816","953","879","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","win"
"2712","2010-08-28","2010/2011","8528","8586","1","0","863","795","921","861","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","lose"
"2714","2010-08-28","2010/2011","10261","8602","1","1","766","799","829","858","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","draw"
"2715","2010-08-28","2010/2011","9825","8655","2","1","806","886","872","951","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","lose"
"2717","2010-08-28","2010/2011","9879","8483","2","2","742","814","820","883","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","draw"
"2718","2010-08-28","2010/2011","10194","8455","0","2","906","797","960","846","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"22279","2010-08-28","2010/2011","8315","10278","1","0","","833","","879","40","Balanced","Little","30","Short","Organised","50","Normal","35","Normal","70","Lots","Organised","35","Medium","35","Press","50","Normal","60","Balanced","Little","45","Mixed","Organised","35","Normal","70","Lots","55","Normal","Organised","30","Deep","70","Double","35","Normal","lose"
"22281","2010-08-28","2010/2011","10267","9864","3","1","770","861","841","897","60","Balanced","Little","55","Mixed","Organised","40","Normal","45","Normal","70","Lots","Organised","45","Medium","65","Press","45","Normal","30","Slow","Little","30","Short","Free Form","55","Normal","60","Normal","70","Lots","Organised","55","Medium","60","Press","60","Normal","lose"
"22283","2010-08-28","2010/2011","8302","8581","4","1","","858","","929","30","Slow","Little","30","Short","Organised","45","Normal","40","Normal","70","Lots","Organised","30","Deep","35","Press","50","Normal","30","Slow","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","60","Medium","70","Double","65","Normal","lose"
"2710","2010-08-29","2010/2011","8659","8650","0","1","880","773","945","846","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","win"
"2711","2010-08-29","2010/2011","8456","8472","0","1","802","871","888","935","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","win"
"2713","2010-08-29","2010/2011","8668","10252","0","1","856","861","914","916","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","win"
"2716","2010-08-29","2010/2011","8658","8559","2","2","","844","","886","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","draw"
"22280","2010-08-29","2010/2011","8634","8696","3","0","801","923","858","967","45","Balanced","Little","55","Mixed","Organised","70","Risky","70","Lots","65","Normal","Free Form","45","Medium","55","Press","50","Normal","42","Balanced","Little","30","Short","Free Form","65","Normal","40","Normal","70","Lots","Free Form","70","High","30","Contain","70","Wide","lose"
"22282","2010-08-29","2010/2011","8394","9783","0","0","817","797","889","867","30","Slow","Little","30","Short","Organised","30","Safe","45","Normal","65","Normal","Organised","35","Medium","35","Press","45","Normal","30","Slow","Little","30","Short","Free Form","50","Normal","35","Normal","70","Lots","Organised","40","Medium","30","Contain","45","Normal","draw"
"22284","2010-08-29","2010/2011","8305","8558","1","3","771","821","849","886","55","Balanced","Little","40","Mixed","Organised","70","Risky","55","Normal","70","Lots","Organised","70","High","50","Press","60","Normal","30","Slow","Little","35","Mixed","Organised","35","Normal","50","Normal","70","Lots","Free Form","40","Medium","30","Contain","50","Normal","win"
"22285","2010-08-29","2010/2011","10205","8560","0","1","762","857","823","910","40","Balanced","Little","30","Short","Free Form","50","Normal","40","Normal","70","Lots","Organised","45","Medium","30","Contain","35","Normal","64","Balanced","Little","30","Short","Free Form","55","Normal","35","Normal","70","Lots","Free Form","65","Medium","30","Contain","70","Wide","win"
"22286","2010-08-29","2010/2011","9865","8371","0","0","812","782","869","872","35","Balanced","Little","35","Mixed","Organised","45","Normal","65","Normal","55","Normal","Free Form","30","Deep","65","Press","55","Normal","65","Balanced","Little","45","Mixed","Organised","45","Normal","45","Normal","70","Lots","Organised","70","High","65","Press","30","Narrow","draw"
"22287","2010-08-29","2010/2011","8633","8661","0","0","789","909","851","967","40","Balanced","Little","40","Mixed","Organised","50","Normal","40","Normal","50","Normal","Free Form","45","Medium","40","Press","45","Normal","55","Balanced","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","65","Medium","40","Press","65","Normal","draw"
"22278","2010-08-30","2010/2011","9869","9906","0","4","839","","912","852","64","Balanced","Little","30","Short","Free Form","65","Normal","50","Normal","70","Lots","Free Form","70","High","34","Press","55","Normal","70","Fast","Little","55","Mixed","Organised","65","Normal","50","Normal","70","Lots","Organised","70","High","70","Double","55","Normal","win"
"2809","2010-09-11","2010/2011","8559","9825","1","4","857","","948","","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2810","2010-09-11","2010/2011","8455","8654","3","1","819","911","890","958","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","lose"
"2811","2010-09-11","2010/2011","10260","8668","3","3","850","905","907","942","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","draw"
"2812","2010-09-11","2010/2011","8483","10261","2","0","792","717","861","797","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","lose"
"2813","2010-09-11","2010/2011","8655","8456","1","1","872","809","943","867","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","draw"
"2814","2010-09-11","2010/2011","8602","9879","1","2","834","772","886","837","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2816","2010-09-11","2010/2011","8586","8659","1","1","787","881","850","941","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","draw"
"2818","2010-09-11","2010/2011","8472","8528","1","1","781","822","859","900","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"22389","2010-09-11","2010/2011","9906","8315","2","1","825","845","870","902","60","Balanced","Little","45","Mixed","Organised","35","Normal","70","Lots","55","Normal","Organised","30","Deep","70","Double","35","Normal","64","Balanced","Little","30","Short","Free Form","65","Normal","50","Normal","70","Lots","Free Form","70","High","34","Press","55","Normal","lose"
"22390","2010-09-11","2010/2011","10278","8634","2","0","894","783","964","827","42","Balanced","Little","30","Short","Free Form","65","Normal","40","Normal","70","Lots","Free Form","70","High","30","Contain","70","Wide","40","Balanced","Little","30","Short","Organised","50","Normal","35","Normal","70","Lots","Organised","35","Medium","35","Press","50","Normal","lose"
"22391","2010-09-11","2010/2011","8696","10267","0","1","847","814","906","865","30","Slow","Little","30","Short","Free Form","55","Normal","60","Normal","70","Lots","Organised","55","Medium","60","Press","60","Normal","45","Balanced","Little","55","Mixed","Organised","70","Risky","70","Lots","65","Normal","Free Form","45","Medium","55","Press","50","Normal","win"
"22397","2010-09-11","2010/2011","8371","8633","0","1","903","817","973","863","55","Balanced","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","65","Medium","40","Press","65","Normal","35","Balanced","Little","35","Mixed","Organised","45","Normal","65","Normal","55","Normal","Free Form","30","Deep","65","Press","55","Normal","win"
"2815","2010-09-12","2010/2011","8650","8658","0","0","836","881","885","927","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","draw"
"22388","2010-09-12","2010/2011","8661","9869","0","2","809","794","846","854","70","Fast","Little","55","Mixed","Organised","65","Normal","50","Normal","70","Lots","Organised","70","High","70","Double","55","Normal","40","Balanced","Little","40","Mixed","Organised","50","Normal","40","Normal","50","Normal","Free Form","45","Medium","40","Press","45","Normal","win"
"22392","2010-09-12","2010/2011","9864","8394","5","3","798","","860","823","30","Slow","Little","30","Short","Free Form","50","Normal","35","Normal","70","Lots","Organised","40","Medium","30","Contain","45","Normal","60","Balanced","Little","55","Mixed","Organised","40","Normal","45","Normal","70","Lots","Organised","45","Medium","65","Press","45","Normal","lose"
"22393","2010-09-12","2010/2011","9783","8302","0","0","866","824","924","884","30","Slow","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","60","Medium","70","Double","65","Normal","30","Slow","Little","30","Short","Organised","30","Safe","45","Normal","65","Normal","Organised","35","Medium","35","Press","45","Normal","draw"
"22394","2010-09-12","2010/2011","8581","8305","1","4","802","772","883","837","30","Slow","Little","35","Mixed","Organised","35","Normal","50","Normal","70","Lots","Free Form","40","Medium","30","Contain","50","Normal","30","Slow","Little","30","Short","Organised","45","Normal","40","Normal","70","Lots","Organised","30","Deep","35","Press","50","Normal","win"
"22395","2010-09-12","2010/2011","8558","10205","0","4","851","802","914","873","64","Balanced","Little","30","Short","Free Form","55","Normal","35","Normal","70","Lots","Free Form","65","Medium","30","Contain","70","Wide","55","Balanced","Little","40","Mixed","Organised","70","Risky","55","Normal","70","Lots","Organised","70","High","50","Press","60","Normal","win"
"2817","2010-09-13","2010/2011","10252","10194","1","2","802","870","860","916","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","win"
"22396","2010-09-13","2010/2011","8560","9865","2","2","806","759","866","815","65","Balanced","Little","45","Mixed","Organised","45","Normal","45","Normal","70","Lots","Organised","70","High","65","Press","30","Narrow","40","Balanced","Little","30","Short","Free Form","50","Normal","40","Normal","70","Lots","Organised","45","Medium","30","Contain","35","Normal","draw"
"2820","2010-09-18","2010/2011","9825","8472","1","1","794","882","889","954","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","draw"
"2821","2010-09-18","2010/2011","8602","8586","1","3","864","770","917","841","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2822","2010-09-18","2010/2011","8559","10252","1","1","861","","917","","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2823","2010-09-18","2010/2011","10261","8668","1","0","850","801","900","866","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","lose"
"2824","2010-09-18","2010/2011","9879","8655","1","1","806","839","872","889","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","draw"
"2825","2010-09-18","2010/2011","8658","8659","1","3","787","852","850","896","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2826","2010-09-18","2010/2011","8654","10194","1","1","806","824","864","883","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","draw"
"22498","2010-09-18","2010/2011","8315","9869","2","2","809","812","846","859","70","Fast","Little","55","Mixed","Organised","65","Normal","50","Normal","70","Lots","Organised","70","High","70","Double","55","Normal","60","Balanced","Little","45","Mixed","Organised","35","Normal","70","Lots","55","Normal","Organised","30","Deep","70","Double","35","Normal","draw"
"22505","2010-09-18","2010/2011","9865","8558","0","1","789","772","863","873","55","Balanced","Little","40","Mixed","Organised","70","Risky","55","Normal","70","Lots","Organised","70","High","50","Press","60","Normal","65","Balanced","Little","45","Mixed","Organised","45","Normal","45","Normal","70","Lots","Organised","70","High","65","Press","30","Narrow","win"
"22506","2010-09-18","2010/2011","8633","8560","2","1","763","906","835","971","40","Balanced","Little","30","Short","Free Form","50","Normal","40","Normal","70","Lots","Organised","45","Medium","30","Contain","35","Normal","55","Balanced","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","65","Medium","40","Press","65","Normal","lose"
"22507","2010-09-18","2010/2011","8371","8661","0","2","774","809","856","863","40","Balanced","Little","40","Mixed","Organised","50","Normal","40","Normal","50","Normal","Free Form","45","Medium","40","Press","45","Normal","35","Balanced","Little","35","Mixed","Organised","45","Normal","65","Normal","55","Normal","Free Form","30","Deep","65","Press","55","Normal","win"
"2819","2010-09-19","2010/2011","8650","10260","2","3","901","889","953","942","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","win"
"2827","2010-09-19","2010/2011","8456","8528","2","0","790","877","874","943","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","lose"
"2828","2010-09-19","2010/2011","8483","8455","0","4","885","725","947","814","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","win"
"22499","2010-09-19","2010/2011","8634","9906","2","1","839","934","908","977","64","Balanced","Little","30","Short","Free Form","65","Normal","50","Normal","70","Lots","Free Form","70","High","34","Press","55","Normal","42","Balanced","Little","30","Short","Free Form","65","Normal","40","Normal","70","Lots","Free Form","70","High","30","Contain","70","Wide","lose"
"22500","2010-09-19","2010/2011","10267","10278","2","1","779","854","835","915","40","Balanced","Little","30","Short","Organised","50","Normal","35","Normal","70","Lots","Organised","35","Medium","35","Press","50","Normal","30","Slow","Little","30","Short","Free Form","55","Normal","60","Normal","70","Lots","Organised","55","Medium","60","Press","60","Normal","lose"
"22501","2010-09-19","2010/2011","8394","8696","0","2","805","799","859","883","45","Balanced","Little","55","Mixed","Organised","70","Risky","70","Lots","65","Normal","Free Form","45","Medium","55","Press","50","Normal","30","Slow","Little","30","Short","Free Form","50","Normal","35","Normal","70","Lots","Organised","40","Medium","30","Contain","45","Normal","win"
"22502","2010-09-19","2010/2011","8302","9864","2","1","783","851","837","918","60","Balanced","Little","55","Mixed","Organised","40","Normal","45","Normal","70","Lots","Organised","45","Medium","65","Press","45","Normal","30","Slow","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","60","Medium","70","Double","65","Normal","lose"
"22504","2010-09-19","2010/2011","10205","8581","2","1","764","857","834","914","30","Slow","Little","30","Short","Organised","45","Normal","40","Normal","70","Lots","Organised","30","Deep","35","Press","50","Normal","64","Balanced","Little","30","Short","Free Form","55","Normal","35","Normal","70","Lots","Free Form","65","Medium","30","Contain","70","Wide","lose"
"22503","2010-09-20","2010/2011","8305","9783","2","2","811","805","885","884","30","Slow","Little","30","Short","Organised","30","Safe","45","Normal","65","Normal","Organised","35","Medium","35","Press","45","Normal","30","Slow","Little","35","Mixed","Organised","35","Normal","50","Normal","70","Lots","Free Form","40","Medium","30","Contain","50","Normal","draw"
"22598","2010-09-21","2010/2011","8661","8315","0","3","801","777","875","854","60","Balanced","Little","45","Mixed","Organised","35","Normal","70","Lots","55","Normal","Organised","30","Deep","70","Double","35","Normal","40","Balanced","Little","40","Mixed","Organised","50","Normal","40","Normal","50","Normal","Free Form","45","Medium","40","Press","45","Normal","win"
"22606","2010-09-21","2010/2011","8558","8633","0","3","903","776","968","852","55","Balanced","Little","30","Short","Free Form","70","Risky","60","Normal","70","Lots","Free Form","65","Medium","40","Press","65","Normal","55","Balanced","Little","40","Mixed","Organised","70","Risky","55","Normal","70","Lots","Organised","70","High","50","Press","60","Normal","win"
