"id","date_match","season","away_team_api_id","home_team_api_id","away_team_goal","home_team_goal","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeed","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassing","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassing","H_chanceCreationPassingClass","H_chanceCreationCrossing","H_chanceCreationCrossingClass","H_chanceCreationShooting","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressure","H_defencePressureClass","H_defenceAggression","H_defenceAggressionClass","H_defenceTeamWidth","H_defenceTeamWidthClass","A_buildUpPlaySpeed","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassing","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassing","A_chanceCreationPassingClass","A_chanceCreationCrossing","A_chanceCreationCrossingClass","A_chanceCreationShooting","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressure","A_defencePressureClass","A_defenceAggression","A_defenceAggressionClass","A_defenceTeamWidth","A_defenceTeamWidthClass","result"
"2606","2010-08-21","2010/2011","8472","8659","0","1","768","802","850","869","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2607","2010-08-21","2010/2011","8586","10194","2","1","803","870","855","918","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","lose"
"2608","2010-08-21","2010/2011","8455","8528","6","0","790","929","867","969","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","lose"
"2602","2010-08-22","2010/2011","10252","10261","0","6","792","867","861","912","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","win"
"2604","2010-08-22","2010/2011","10260","9879","2","2","829","909","879","940","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","draw"
"2603","2010-08-23","2010/2011","8650","8456","0","3","874","891","941","940","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","win"
"2709","2010-08-28","2010/2011","8654","10260","0","3","895","816","953","879","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","win"
"2712","2010-08-28","2010/2011","8528","8586","1","0","863","795","921","861","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","lose"
"2714","2010-08-28","2010/2011","10261","8602","1","1","766","799","829","858","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","draw"
"2715","2010-08-28","2010/2011","9825","8655","2","1","806","886","872","951","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","lose"
"2717","2010-08-28","2010/2011","9879","8483","2","2","742","814","820","883","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","draw"
"2718","2010-08-28","2010/2011","10194","8455","0","2","906","797","960","846","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2710","2010-08-29","2010/2011","8659","8650","0","1","880","773","945","846","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","win"
"2711","2010-08-29","2010/2011","8456","8472","0","1","802","871","888","935","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","win"
"2713","2010-08-29","2010/2011","8668","10252","0","1","856","861","914","916","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","win"
"2716","2010-08-29","2010/2011","8658","8559","2","2","","844","","886","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","draw"
"2809","2010-09-11","2010/2011","8559","9825","1","4","857","","948","","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2810","2010-09-11","2010/2011","8455","8654","3","1","819","911","890","958","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","lose"
"2811","2010-09-11","2010/2011","10260","8668","3","3","850","905","907","942","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","draw"
"2812","2010-09-11","2010/2011","8483","10261","2","0","792","717","861","797","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","lose"
"2813","2010-09-11","2010/2011","8655","8456","1","1","872","809","943","867","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","draw"
"2814","2010-09-11","2010/2011","8602","9879","1","2","834","772","886","837","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2816","2010-09-11","2010/2011","8586","8659","1","1","787","881","850","941","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","draw"
"2818","2010-09-11","2010/2011","8472","8528","1","1","781","822","859","900","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2815","2010-09-12","2010/2011","8650","8658","0","0","836","881","885","927","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","draw"
"2817","2010-09-13","2010/2011","10252","10194","1","2","802","870","860","916","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","win"
"2820","2010-09-18","2010/2011","9825","8472","1","1","794","882","889","954","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","draw"
"2821","2010-09-18","2010/2011","8602","8586","1","3","864","770","917","841","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2822","2010-09-18","2010/2011","8559","10252","1","1","861","","917","","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2823","2010-09-18","2010/2011","10261","8668","1","0","850","801","900","866","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","lose"
"2824","2010-09-18","2010/2011","9879","8655","1","1","806","839","872","889","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","draw"
"2825","2010-09-18","2010/2011","8658","8659","1","3","787","852","850","896","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2826","2010-09-18","2010/2011","8654","10194","1","1","806","824","864","883","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","draw"
"2819","2010-09-19","2010/2011","8650","10260","2","3","901","889","953","942","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","win"
"2827","2010-09-19","2010/2011","8456","8528","2","0","790","877","874","943","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","lose"
"2828","2010-09-19","2010/2011","8483","8455","0","4","885","725","947","814","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","win"
"2829","2010-09-25","2010/2011","8659","9825","3","2","865","777","942","845","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","lose"
"2830","2010-09-25","2010/2011","8472","8650","2","2","879","799","946","884","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2831","2010-09-25","2010/2011","8586","8654","0","1","813","872","874","940","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","win"
"2833","2010-09-25","2010/2011","8455","8456","0","1","872","917","944","963","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","win"
"2835","2010-09-25","2010/2011","8668","9879","0","0","830","860","884","910","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","draw"
"2836","2010-09-25","2010/2011","8528","8658","0","0","840","795","890","867","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2838","2010-09-25","2010/2011","8655","8483","2","1","739","810","802","868","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","lose"
"2832","2010-09-26","2010/2011","10194","10261","2","1","786","791","872","843","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","lose"
"2834","2010-09-26","2010/2011","10252","8602","2","1","762","869","826","918","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","lose"
"2837","2010-09-26","2010/2011","10260","8559","2","2","","925","","958","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","draw"
"2840","2010-10-02","2010/2011","10260","8472","0","0","798","","876","","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","draw"
"2841","2010-10-02","2010/2011","10252","8586","1","2","862","860","922","906","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","win"
"2842","2010-10-02","2010/2011","9879","8654","1","1","812","846","871","885","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","draw"
"2844","2010-10-02","2010/2011","8668","8658","2","0","842","856","890","909","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","lose"
"2845","2010-10-02","2010/2011","8559","8659","1","1","778","","866","","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2846","2010-10-02","2010/2011","8655","10194","0","1","806","808","864","866","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","win"
"2847","2010-10-02","2010/2011","8602","8528","0","2","789","770","872","835","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2839","2010-10-03","2010/2011","8483","8650","2","1","882","716","950","807","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","lose"
"2843","2010-10-03","2010/2011","10261","8456","1","2","880","805","947","872","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","win"
"2848","2010-10-03","2010/2011","9825","8455","0","2","896","863","961","950","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","win"
"2849","2010-10-16","2010/2011","8659","10260","2","2","","778","","851","70","Fast","Little","45","Mixed","Organised","45","Normal","70","Lots","65","Normal","Free Form","40","Medium","50","Press","40","Normal","65","Balanced","Little","40","Mixed","Organised","70","Risky","70","Lots","55","Normal","Organised","70","High","70","Double","70","Wide","draw"
"2850","2010-10-16","2010/2011","8658","9825","1","2","861","854","953","896","66","Balanced","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","win"
"2851","2010-10-16","2010/2011","8455","10252","0","0","860","899","925","951","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","70","Fast","Little","60","Mixed","Free Form","56","Normal","70","Lots","70","Lots","Free Form","30","Deep","60","Press","35","Normal","draw"
"2853","2010-10-16","2010/2011","8528","10261","2","2","784","797","866","866","70","Fast","Little","60","Mixed","Organised","65","Normal","70","Lots","60","Normal","Organised","45","Medium","65","Press","45","Normal","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2854","2010-10-16","2010/2011","8654","8602","1","1","765","810","835","868","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","70","Lots","Organised","70","High","70","Double","70","Wide","58","Balanced","Little","30","Short","Organised","31","Safe","70","Lots","50","Normal","Organised","30","Deep","70","Double","30","Narrow","draw"
"2856","2010-10-16","2010/2011","8586","9879","2","1","836","881","883","940","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","50","Normal","Organised","40","Medium","35","Press","40","Normal","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","lose"
"2857","2010-10-16","2010/2011","10194","8559","1","2","","804","","856","55","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","45","Normal","Organised","35","Medium","70","Double","35","Normal","65","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","win"
"2852","2010-10-17","2010/2011","8650","8668","0","2","843","896","904","941","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","50","Balanced","Little","35","Mixed","Organised","50","Normal","60","Normal","70","Lots","Organised","40","Medium","60","Press","40","Normal","win"
"2858","2010-10-17","2010/2011","8456","8483","3","2","742","870","812","935","70","Fast","Little","70","Long","Organised","70","Risky","70","Lots","65","Normal","Organised","70","High","70","Double","70","Wide","70","Fast","Little","60","Mixed","Organised","55","Normal","70","Lots","70","Lots","Organised","45","Medium","55","Press","45","Normal","lose"
"2855","2010-10-18","2010/2011","8472","8655","0","0","799","799","875","884","55","Balanced","Little","70","Long","Organised","60","Normal","70","Lots","55","Normal","Organised","45","Medium","70","Double","45","Normal","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","draw"
"2860","2010-10-23","2010/2011","10252","8472","0","1","796","871","885","926","60","Balanced","Little","70","Long","Organised","70","Risky","70","Lots","55","Normal","Organised","35","Medium","70","Double","35","Normal","70","Fast","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","win"
"2861","2010-10-23","2010/2011","8668","8586","1","1","875","854","934","905","70","Fast","Little","50","Mixed","Organised","50","Normal","65","Normal","50","Normal","Organised","50","Medium","50","Press","50","Normal","60","Balanced","Little","65","Mixed","Organised","60","Normal","70","Lots","45","Normal","Organised","40","Medium","70","Double","40","Normal","draw"
