"","player_api_id","id","player_name","player_position","player_number","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"5",24023,14,"Tony Hibbert","Defender",2,72,72,3,5,17,66,12,69,58,19,22,21,29,56,60,54,54,52,71,78,30,73,77,71,18,87,81,58,55,22,77,82,83,15,16,13,16,9
"7",24216,15,"Sylvain Distin","Defender",15,77,77,2,5,15,40,30,82,66,59,51,37,36,64,61,60,65,50,71,34,41,63,67,86,31,77,75,48,57,47,80,79,78,9,8,15,6,6
"24",419196,16,"Tyias Browning","Defender",27,66,76,3,5,17,52,25,64,64,33,46,28,17,45,65,69,77,56,64,55,48,66,64,69,35,60,64,41,27,43,67,72,66,10,13,7,9,12
"19",191132,17,"Luke Garbutt","Defender",29,69,77,2,2,17,75,45,59,70,44,66,76,74,63,70,74,74,70,66,69,58,71,76,66,63,67,64,64,63,43,68,67,69,14,9,6,15,10
"1",11736,18,"Antolin Alcaraz","Defender",30,73,73,3,5,17,47,38,78,71,35,61,21,35,16,66,49,33,55,71,56,54,72,65,76,42,72,70,58,44,48,75,76,78,8,11,10,16,11
"25",516273,20,"Matthew Pennington","Defender",38,63,73,3,5,17,31,30,64,55,36,46,35,34,39,50,63,54,49,53,57,44,74,64,75,26,60,59,31,31,48,67,64,60,12,12,7,12,11
"12",32448,22,"Aiden McGeady","Midfielder",7,76,76,3,2,16,74,66,60,74,70,84,68,72,71,80,79,78,90,73,75,72,57,71,57,66,77,51,66,66,77,34,41,29,10,9,12,13,6
"20",193859,23,"Bryan Oviedo","Midfielder",8,71,73,2,2,17,72,61,48,68,58,75,59,63,64,73,79,73,79,72,79,66,82,79,58,59,72,69,66,66,56,73,72,70,11,12,8,10,16
"21",212866,24,"Muhamed Besic","Midfielder",17,75,83,3,5,15,45,51,67,75,41,71,52,57,69,78,71,75,78,72,75,55,82,69,74,48,83,77,46,65,48,74,77,81,14,7,13,7,12
"4",24006,25,"Leon Osman","Midfielder",21,75,75,3,2,15,72,71,71,83,80,82,75,70,73,81,54,68,79,79,85,75,73,69,60,76,69,69,72,80,69,60,65,52,16,14,9,7,8
"14",36012,26,"Steven Pienaar","Midfielder",22,77,77,3,2,17,77,67,56,82,73,82,75,76,76,81,75,64,88,76,87,76,60,69,60,73,71,62,74,81,63,61,39,36,9,16,12,11,11
"26",571546,28,"Conor Grant","Midfielder",39,63,71,2,5,17,55,58,60,73,43,71,53,53,64,66,64,63,56,56,67,60,62,68,67,68,70,57,65,72,34,50,64,59,7,6,13,15,12
"10",30922,30,"Arouna Kone","Forward",9,77,77,3,5,17,61,76,73,67,71,78,57,56,49,76,76,83,75,75,61,84,78,73,84,70,47,28,77,66,67,22,43,26,10,6,7,12,7
"13",32705,31,"Steven Naismith","Forward",14,76,76,3,2,15,59,76,76,73,66,77,67,38,63,78,76,77,78,77,68,74,83,85,76,64,79,53,81,77,79,41,49,49,12,11,8,9,16
