"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"146028",5223,62,62,3,5,16,41,60,64,55,49,59,52,42,45,62,66,55,79,58,62,65,62,55,76,55,37,31,71,48,60,25,25,25,9,8,13,10,12
"71664",5233,63,74,3,6,18,33,21,59,54,24,36,15,34,52,58,56,57,54,58,63,51,57,61,70,38,67,61,28,52,43,63,70,64,10,10,14,15,5
"91953",5243,69,69,3,5,16,81,61,53,71,48,69,75,78,73,71,64,66,72,59,68,71,56,34,60,74,56,39,64,73,82,22,41,25,10,10,6,10,16
"142408",5247,64,64,3,5,17,51,53,77,73,58,61,70,47,61,68,47,33,46,66,57,64,27,49,74,43,59,64,61,72,70,53,59,48,13,14,10,15,12
"61344",5272,67,67,3,5,17,54,45,65,67,52,57,58,53,66,65,51,52,52,65,51,64,65,68,85,60,71,68,50,62,59,62,67,61,12,12,7,6,11
"72107",5362,60,66,3,1,2,55,59,57,58,NA,71,NA,56,53,66,70,71,NA,61,NA,62,NA,60,54,54,57,54,55,NA,54,49,56,NA,2,22,53,22,22
"114366",5440,65,65,3,5,17,25,25,25,36,25,25,25,25,28,26,44,45,49,66,43,28,78,28,70,25,45,25,25,25,31,25,25,25,67,62,65,65,65
"59628",5468,61,64,3,5,16,39,61,71,46,58,46,34,43,27,51,53,62,48,63,45,65,53,58,88,51,61,24,68,48,60,12,19,18,12,9,5,15,7
"181070",5610,75,75,2,2,17,80,65,63,78,62,75,71,76,76,78,68,74,73,78,75,68,50,63,47,68,61,54,73,76,73,50,52,41,11,16,6,12,10
"21313",5629,68,68,2,5,17,69,46,59,68,63,66,64,71,64,72,71,62,69,63,76,73,59,65,60,63,48,42,67,72,69,35,24,18,7,6,12,10,6
"80507",5631,65,65,3,5,16,41,66,71,56,52,60,48,50,37,64,66,69,70,63,56,63,56,74,77,53,50,26,69,57,61,30,25,33,6,6,12,5,12
"44669",5662,67,67,3,5,16,40,72,78,62,62,45,54,29,40,63,51,56,40,69,33,73,34,58,86,50,46,32,78,64,72,25,38,26,9,10,7,10,14
"63227",5686,65,66,3,6,18,66,19,47,63,39,41,39,11,64,60,66,66,65,66,62,58,65,73,68,22,67,69,28,67,38,67,67,66,15,11,13,7,13
"153991",5687,64,72,2,6,18,63,60,67,54,37,75,55,45,45,65,70,75,69,68,56,58,65,74,69,61,70,46,61,53,79,55,54,58,11,12,6,10,13
"94210",5693,67,67,2,5,17,68,54,73,68,55,62,44,55,70,66,50,53,55,64,53,74,77,69,77,63,70,69,59,52,63,63,68,58,8,8,9,10,15
"27569",5700,65,70,3,1,2,61,68,51,56,NA,67,NA,54,45,63,74,75,NA,73,NA,68,NA,66,64,65,61,62,59,NA,56,30,33,NA,14,21,45,21,21
"137150",5703,69,69,3,5,17,62,65,61,70,69,68,65,61,69,70,67,66,70,71,65,66,59,71,72,68,27,50,71,70,69,41,37,32,8,9,7,14,15
"43531",5710,70,70,3,5,17,15,11,11,31,14,14,12,12,22,29,31,43,36,67,41,28,45,40,64,16,31,23,14,29,46,13,13,12,68,72,55,75,71
"42428",6757,60,60,3,5,17,50,38,62,58,47,52,31,37,53,56,56,55,46,58,41,43,45,69,82,21,61,65,23,46,45,59,61,58,5,14,5,13,5
"135838",6771,60,63,3,1,2,51,39,54,58,36,43,36,37,54,53,68,66,63,61,73,60,65,67,66,41,68,60,43,52,44,58,62,63,12,10,12,7,10
"152111",6798,60,61,3,5,17,52,26,57,49,39,35,27,27,45,42,59,67,55,55,55,58,60,72,77,27,74,62,27,35,31,62,65,63,15,9,12,5,14
"85342",6800,64,64,3,5,17,36,30,67,64,28,35,31,45,64,58,34,48,34,58,56,60,42,60,80,35,70,68,27,42,65,62,65,59,6,8,8,10,8
"23214",6803,63,65,3,1,2,50,46,65,63,NA,48,NA,32,58,52,53,63,NA,65,NA,54,NA,70,65,46,77,58,71,NA,43,57,60,NA,10,25,58,25,25
"141679",6824,69,75,2,6,18,68,52,44,65,46,70,56,49,45,70,85,82,80,70,60,64,62,69,58,56,63,28,62,59,61,20,32,16,9,9,5,9,13
"52902",6853,68,68,3,5,17,55,57,72,74,65,68,71,65,73,75,60,65,68,74,73,70,83,49,65,66,72,53,62,68,63,68,71,67,15,12,11,9,7
"157810",6864,65,65,3,4,17,49,24,64,59,34,39,38,40,52,48,46,52,48,57,56,60,61,52,84,45,82,63,22,59,50,65,64,57,15,5,14,13,12
"52554",6911,76,80,2,1,2,73,70,43,78,NA,83,NA,82,80,75,83,74,NA,67,NA,78,NA,75,60,81,54,74,77,NA,75,23,25,NA,8,24,80,24,24
"174323",7099,59,64,3,1,2,58,70,66,51,NA,53,NA,48,41,51,60,56,NA,53,NA,57,NA,54,67,55,41,44,61,NA,47,37,40,NA,6,25,41,25,25
"159835",7206,61,61,3,5,17,69,55,45,71,49,69,40,39,68,63,76,76,68,54,72,62,67,69,37,52,69,51,69,66,28,52,57,59,13,10,7,7,11
"153484",7226,64,64,3,5,17,62,62,52,63,56,69,63,57,57,64,74,72,71,64,61,64,65,69,72,65,52,21,57,60,54,17,29,22,8,5,13,11,10
"93997",7284,71,71,3,5,17,60,71,73,73,65,65,68,34,66,66,76,79,72,67,63,75,65,73,72,69,48,57,79,76,52,44,54,53,11,16,6,7,15
"14162",7334,57,61,3,5,17,14,11,9,11,11,10,11,12,12,11,58,59,55,47,22,25,80,48,63,13,40,20,11,25,12,14,13,10,59,58,54,56,59
"173308",7604,67,67,2,5,17,68,60,34,73,60,64,73,68,70,68,63,65,63,66,60,55,58,73,63,65,48,58,60,69,49,54,45,48,16,6,14,12,16
"97934",7616,62,62,2,2,17,63,51,45,60,52,61,60,59,53,62,70,67,71,64,72,59,70,65,56,47,75,42,71,49,53,41,50,55,11,6,12,15,14
"14309",7621,60,60,3,5,17,10,9,9,23,8,8,9,10,22,23,60,51,42,53,40,25,56,38,61,8,41,24,10,38,24,9,9,10,65,63,55,61,56
"169954",7627,63,63,3,4,17,60,43,68,68,52,63,46,65,64,60,77,69,80,61,74,63,84,77,80,68,73,55,57,43,36,64,62,58,7,6,13,7,6
"171498",7628,57,61,3,2,17,45,34,60,64,39,52,35,36,53,56,63,60,56,51,69,62,70,80,58,39,56,60,54,44,54,53,54,34,8,6,10,5,12
"81240",7663,54,54,3,5,17,54,34,58,58,29,44,31,52,50,51,51,66,57,56,70,60,55,52,70,37,55,53,31,35,53,53,50,42,12,9,14,9,5
"89715",7681,59,69,3,6,18,62,41,49,57,57,49,39,46,49,63,52,52,49,61,69,51,39,53,73,54,71,59,43,62,48,54,62,58,15,12,6,11,5
"6395",7683,66,66,2,2,17,65,54,53,62,52,67,57,56,57,62,68,68,69,64,67,64,72,73,70,58,69,63,52,58,59,69,69,71,9,8,16,9,7
"124772",8777,60,60,3,5,17,60,50,59,57,50,61,59,42,55,69,52,54,71,60,73,46,57,73,67,43,52,57,59,58,38,63,67,70,8,15,6,12,16
"111905",8780,69,72,3,5,16,64,70,67,65,57,68,62,69,64,65,83,84,78,68,63,80,66,69,75,67,66,21,72,64,67,19,20,18,7,9,16,8,7
"165170",8784,58,58,3,5,17,45,56,55,68,35,52,44,52,60,60,63,69,67,55,60,62,56,52,68,38,59,63,63,46,56,52,52,54,9,13,7,10,10
"170897",8800,61,61,3,5,17,67,46,48,65,55,61,31,56,59,60,50,59,64,52,66,58,78,54,71,46,56,64,48,53,56,58,64,65,14,14,13,11,11
"14002",8837,57,59,3,7,19,62,46,51,59,56,27,28,54,67,45,62,57,45,62,59,48,46,63,62,52,50,50,24,41,37,55,61,65,8,12,5,7,8
"32733",8840,63,63,3,5,17,47,65,52,64,48,66,52,51,58,64,74,77,73,62,73,67,70,67,63,54,59,25,64,56,63,25,25,23,6,13,7,11,15
"111799",8881,64,64,3,5,17,66,37,55,60,60,54,61,53,59,65,76,76,72,67,71,64,69,77,65,38,66,51,65,56,57,60,60,62,12,8,11,13,12
"15024",8893,61,61,3,5,17,36,34,45,72,39,50,24,42,69,73,52,55,56,55,86,56,65,74,66,35,52,72,37,49,47,51,62,45,16,8,16,10,11
"133591",8922,73,73,3,5,16,47,77,77,60,69,71,65,77,42,73,67,67,67,75,43,74,58,75,77,70,64,29,75,65,81,12,13,11,6,12,8,12,7
"155784",8925,52,64,3,5,17,47,39,52,61,54,53,37,44,53,52,59,52,56,41,57,52,56,62,59,43,63,47,44,56,58,49,48,44,13,7,12,6,11
"70869",8930,65,65,2,5,17,63,34,66,62,53,56,43,47,61,62,54,57,55,66,58,65,61,67,68,51,69,71,51,56,61,64,66,65,5,10,6,9,15
"44874",8932,69,75,3,1,2,56,25,71,60,26,46,47,41,61,57,60,65,58,70,74,29,77,60,72,31,71,66,23,47,43,67,75,64,9,14,13,10,12
"126541",8985,76,76,3,5,15,59,59,79,72,67,55,59,77,68,71,51,54,56,74,66,81,51,78,87,74,86,84,52,68,80,75,81,68,13,7,15,15,15
"122341",9079,70,70,3,5,17,73,42,63,71,47,68,69,56,64,71,62,64,59,74,59,66,57,65,70,51,73,71,54,57,50,69,74,73,14,9,15,11,16
"74530",9086,69,69,3,5,15,63,32,70,67,51,67,32,35,68,66,50,54,60,65,58,46,58,75,81,29,82,71,65,68,61,67,68,67,9,6,9,10,9
"74248",9124,67,70,3,6,7,42,20,76,52,41,35,37,38,61,53,58,64,51,61,68,50,71,64,81,20,71,59,12,48,42,65,67,61,10,15,8,8,11
"174003",9128,67,67,3,5,17,42,60,63,72,71,53,60,57,68,67,50,53,46,51,45,69,65,72,83,67,63,67,48,68,60,59,74,62,12,6,12,12,12
"181461",9144,61,63,3,1,2,62,56,33,61,NA,73,NA,66,60,71,61,58,NA,56,NA,58,NA,46,48,61,38,46,51,NA,56,21,22,NA,5,22,60,22,22
"86757",9149,64,74,2,6,18,38,30,55,44,NA,36,NA,47,34,55,54,58,NA,62,NA,50,NA,72,78,35,71,59,55,NA,48,66,65,NA,7,20,34,20,20
"77533",9183,62,62,3,5,17,25,25,25,25,25,25,25,25,25,21,25,25,24,52,26,25,21,28,41,25,20,25,25,25,25,25,25,25,64,61,55,62,64
"171505",9203,65,67,3,1,2,67,66,50,64,63,64,69,71,66,66,67,66,65,61,57,74,65,65,55,70,56,32,62,67,64,27,22,21,12,14,9,9,15
"142522",9213,67,67,3,5,17,70,62,52,69,66,64,73,72,71,67,68,65,65,62,66,70,68,62,67,72,54,56,64,72,62,41,48,46,13,13,10,9,12
"18791",9307,66,67,3,1,2,43,43,62,60,48,49,38,33,58,60,63,64,58,68,75,82,65,82,71,69,85,67,55,65,53,62,67,65,6,7,8,5,12
"135549",9449,63,63,2,5,17,40,37,65,56,39,50,36,32,58,54,48,50,30,45,34,46,68,56,90,36,62,59,50,31,46,61,64,61,8,6,15,11,6
"5507",10348,77,77,3,2,16,70,75,56,78,74,80,83,82,73,84,74,71,72,71,79,80,54,52,70,81,60,28,77,73,78,34,24,47,9,11,9,16,12
"164704",10404,71,77,3,6,18,74,72,60,75,64,72,61,65,68,71,67,72,70,74,70,77,75,71,73,66,70,41,73,71,66,35,48,46,13,8,6,15,14
"52080",10474,62,62,3,5,17,51,64,61,68,61,61,41,33,45,62,61,71,52,55,62,72,56,72,65,48,61,25,63,57,67,25,21,25,12,9,10,10,7
"44830",10491,70,70,2,5,16,70,64,64,72,63,70,65,70,71,72,73,75,75,57,58,82,67,69,70,75,47,41,67,74,72,52,43,33,10,16,8,8,12
"13347",10637,69,69,3,5,17,15,14,12,22,13,13,14,10,18,14,36,41,31,63,41,26,72,35,65,14,29,22,13,60,23,16,14,15,71,69,66,66,74
"150082",10880,66,66,2,5,17,60,68,60,69,53,60,60,46,69,65,48,53,65,58,76,67,62,65,56,72,67,69,66,72,72,52,56,55,13,12,14,13,9
"150438",10933,66,66,3,5,16,66,63,62,66,66,63,70,67,63,65,65,70,74,62,75,62,74,34,57,68,47,62,66,69,76,62,59,51,10,15,16,14,16
"141085",10950,68,68,2,5,17,34,29,78,45,24,32,28,30,42,36,25,34,33,69,27,55,48,33,78,31,77,70,21,28,33,71,73,66,13,11,5,7,10
"142891",10967,73,73,2,5,15,68,61,61,72,50,68,65,59,65,73,72,69,73,76,78,78,69,86,76,63,84,74,67,70,60,71,73,74,15,13,5,7,7
"115633",10984,68,73,3,6,18,64,40,61,77,NA,63,NA,21,44,68,72,70,NA,63,NA,66,NA,76,74,25,80,80,72,NA,53,67,73,NA,10,23,44,23,23
"173361",11024,67,67,2,5,17,23,12,17,35,14,22,17,11,34,12,53,33,63,72,49,23,74,39,67,13,44,24,16,49,11,19,11,17,65,64,63,65,70
"152971",11027,72,72,3,5,17,46,49,79,63,43,39,60,41,61,56,54,53,46,74,40,56,64,63,82,60,78,71,24,46,67,71,75,68,7,13,8,8,6
"178324",11038,63,67,2,1,2,43,68,70,48,NA,67,NA,53,52,54,68,70,NA,51,NA,68,NA,59,62,51,41,42,63,NA,64,24,25,NA,15,20,52,20,20
"117363",11049,70,71,3,8,20,68,48,52,61,52,60,55,69,67,70,66,73,74,75,55,70,71,64,75,66,79,70,63,61,62,72,70,77,11,10,5,8,7
"124310",11052,67,70,3,5,15,57,42,61,66,43,64,44,30,64,68,67,64,68,69,70,60,73,86,63,46,66,68,39,64,49,67,65,61,15,14,11,12,14
"33439",11061,62,62,3,5,17,36,44,64,48,44,41,30,35,43,50,50,33,29,54,34,47,47,74,83,41,61,61,33,48,42,64,61,62,9,7,11,14,11
"97505",11242,67,67,3,2,15,65,30,55,64,42,55,51,41,57,63,65,65,69,66,75,55,74,76,67,37,73,70,46,46,43,68,68,70,6,13,12,7,10
"153061",11263,59,64,3,5,17,58,60,48,61,55,61,43,32,43,59,79,81,67,59,59,63,44,54,60,57,35,20,51,57,44,12,12,10,15,15,11,15,6
"104859",11285,65,68,3,2,17,63,65,47,64,35,65,56,67,49,64,84,78,74,74,71,54,67,64,53,56,53,22,71,51,55,22,24,20,8,15,8,8,6
"79422",11316,71,71,3,5,17,12,11,13,22,11,13,13,12,24,25,40,41,44,64,45,16,55,24,62,13,42,22,11,27,14,10,14,12,71,72,66,72,76
"56852",11317,64,65,3,5,17,44,40,59,67,40,61,41,49,65,63,58,61,60,69,74,53,62,71,64,57,76,61,55,63,44,55,71,61,7,10,15,5,9
"20868",11319,81,81,3,5,17,11,14,15,35,12,13,12,11,33,12,49,53,38,77,45,22,49,28,65,15,22,22,12,44,15,16,11,14,82,80,78,82,85
"164750",11320,73,73,3,5,17,10,11,14,37,12,12,11,11,28,25,36,38,38,71,43,14,57,20,78,10,28,22,11,45,12,10,15,14,75,73,67,74,72
"177583",11321,59,59,3,5,17,11,7,11,37,13,9,9,11,21,13,35,42,45,65,31,23,55,35,62,10,40,23,15,41,12,7,10,12,59,57,58,59,59
"26829",11323,71,71,3,4,17,71,52,75,72,49,48,69,50,64,71,66,61,61,73,62,71,82,67,71,67,72,73,54,54,69,68,71,69,13,8,6,6,12
"133197",11324,72,72,3,5,15,61,48,71,75,26,64,56,53,67,72,48,48,58,70,65,53,71,70,73,48,75,75,62,67,49,70,72,68,9,6,15,16,13
"14300",11327,68,68,3,5,17,68,61,34,74,66,74,64,70,70,70,53,51,60,72,90,61,32,73,64,62,61,53,62,72,68,48,51,51,13,8,13,6,13
"148145",11329,69,69,2,5,15,72,45,69,65,60,61,54,54,62,66,61,62,65,65,73,65,70,71,63,64,67,68,37,60,59,70,75,74,6,12,12,12,15
"182160",11332,63,63,3,5,16,73,61,41,70,62,67,68,52,62,72,41,52,55,68,52,72,53,34,55,70,44,26,60,70,63,32,51,43,12,15,11,13,9
"154786",11336,69,69,3,5,17,13,12,8,27,12,14,10,11,21,22,40,41,54,64,57,29,56,31,62,16,32,16,15,43,31,17,10,12,67,71,68,73,69
"88364",11349,67,67,3,4,15,46,16,62,50,31,21,28,58,44,49,49,33,48,66,50,40,59,53,81,45,79,72,20,59,60,70,68,64,8,12,15,13,9
"135410",11357,70,70,3,5,15,58,48,68,70,59,58,46,57,68,67,65,66,59,71,62,70,81,85,75,66,80,69,65,68,60,66,70,65,7,6,6,10,16
"178445",11496,64,64,3,5,17,65,61,37,68,70,67,60,70,66,66,54,53,66,63,78,72,72,64,71,70,58,55,59,67,77,55,49,40,14,12,13,8,10
"168078",11498,63,63,3,5,17,17,13,17,23,15,17,13,13,31,23,59,60,57,66,48,11,74,36,68,20,28,23,16,20,12,19,12,11,66,55,55,65,67
"55839",11555,72,72,3,2,16,64,71,70,81,49,55,58,65,73,68,50,51,43,85,35,81,32,34,90,76,82,66,83,82,65,46,64,50,6,15,6,12,7
"18156",11569,65,68,3,1,2,43,32,64,62,NA,43,NA,38,66,63,60,66,NA,57,NA,63,NA,59,71,68,69,71,69,NA,67,65,67,NA,1,24,66,24,24
"169022",11576,73,77,3,6,18,68,74,69,73,62,70,65,75,70,78,70,73,65,74,70,81,59,75,73,77,82,69,76,75,70,75,72,68,8,6,14,9,6
"60733",11671,64,64,3,5,17,60,56,58,68,41,62,32,61,66,66,68,68,70,62,85,67,70,70,65,64,66,60,56,68,53,40,50,48,13,8,7,10,11
"15330",11685,81,81,3,2,17,86,74,55,81,75,83,76,71,71,86,80,83,75,80,76,84,40,86,73,87,66,53,77,80,86,42,46,44,10,4,14,4,14
"142017",11716,70,73,3,6,18,22,22,23,33,NA,38,NA,5,66,21,22,31,NA,82,NA,23,NA,48,64,20,60,49,40,NA,42,23,36,NA,70,69,66,66,71
"134796",11726,66,66,3,5,17,66,53,59,73,50,65,61,68,70,69,52,54,66,68,73,66,75,75,57,66,73,61,55,69,57,58,61,57,12,9,16,9,6
"172368",11734,57,63,2,1,2,58,30,34,52,NA,45,NA,27,36,53,74,67,NA,52,NA,38,NA,69,70,36,71,58,57,NA,54,59,60,NA,12,21,36,21,21
"15043",11736,73,73,3,5,17,47,38,78,71,35,61,21,35,16,66,49,33,55,71,56,54,72,65,76,42,72,70,58,44,48,75,76,78,8,11,10,16,11
"17330",11743,70,70,3,5,17,74,64,55,75,62,74,80,75,65,76,75,68,76,76,74,78,68,69,56,72,61,54,66,74,70,47,52,43,9,8,15,13,13
"141567",11746,66,68,3,3,13,25,24,21,35,NA,21,NA,19,71,24,33,31,NA,74,NA,36,NA,55,60,21,63,52,28,NA,40,25,35,NA,61,66,71,63,68
"6471",11747,60,63,3,6,5,22,10,61,50,38,26,39,29,49,38,58,58,47,45,74,28,63,67,76,18,65,61,32,48,26,58,62,62,14,13,15,14,5
"111902",11752,61,68,3,6,18,65,40,63,59,NA,65,NA,29,54,58,62,63,NA,57,NA,65,NA,72,75,21,68,68,67,NA,52,60,60,NA,14,21,54,21,21
"154104",11754,76,76,3,5,15,70,62,65,81,67,75,72,58,78,77,65,67,73,73,67,74,73,75,72,70,79,76,73,79,67,71,75,68,15,11,15,7,8
"48779",11758,77,77,2,5,17,75,60,66,69,63,71,67,69,64,75,78,85,75,76,71,89,73,84,80,88,87,75,72,59,64,73,77,82,12,15,15,15,15
"26161",11759,67,67,2,6,10,66,34,56,65,37,55,50,65,55,61,60,55,54,72,65,76,71,80,69,70,71,64,60,66,46,65,71,70,8,11,5,12,11
"87537",11760,64,64,3,5,17,13,11,15,23,14,12,10,11,23,22,31,33,46,71,37,22,73,35,77,12,62,26,12,41,23,12,10,9,64,61,60,63,66
"153966",11778,73,74,3,5,17,48,48,67,52,43,55,28,51,60,59,65,68,60,63,42,46,83,66,79,62,78,72,40,56,51,73,75,84,6,8,11,8,6
"154835",11788,65,71,3,1,2,51,51,57,68,NA,68,NA,53,59,69,70,72,NA,69,NA,58,NA,71,67,49,64,63,69,NA,66,59,51,NA,11,21,59,21,21
"56083",11795,61,62,3,1,2,52,44,53,58,NA,46,NA,55,45,61,66,67,NA,62,NA,51,NA,68,68,52,63,52,56,NA,59,63,62,NA,12,23,45,23,23
"23546",11796,64,64,3,4,17,68,44,56,66,42,55,49,61,59,60,53,51,67,66,78,53,73,34,65,54,68,71,41,54,36,72,75,70,11,6,15,6,10
"183494",11798,75,76,3,2,15,72,64,47,77,65,73,61,65,75,77,78,75,75,74,74,69,66,84,64,65,81,64,73,77,30,72,73,63,10,10,9,13,6
"105810",11801,63,63,2,4,15,65,44,53,62,44,59,32,44,61,60,66,65,64,65,73,64,74,65,59,39,65,65,55,55,46,65,64,62,5,9,7,15,14
"55518",11827,68,69,3,1,2,48,53,70,63,53,46,17,36,61,57,64,63,64,68,73,58,75,65,75,51,67,70,30,63,52,67,68,65,14,13,7,7,9
"24110",11829,69,74,3,6,7,72,36,56,65,53,67,70,72,62,67,73,72,69,74,73,77,69,72,75,62,78,67,46,72,68,68,74,73,15,5,11,14,8
